,DHL_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE_cuenta,ESTAFETA_TERRESTRE_CONSUMO,ESTAFETA_TERRESTRE_CONSUMO_cuenta,bike,destiny_zipcode,origin_zipcode,weight
199,566.96,462.86,8619166,90.09,5522411,,94000,58195,20
200,585.46,482.95000000000005,8619166,95.54,5522411,,94000,58195,21
201,603.96,503.03999999999996,8619166,100.99000000000001,5522411,,94000,58195,22
202,622.46,523.13,8619166,106.44,5522411,,94000,58195,23
203,640.96,543.22,8619166,111.89,5522411,,94000,58195,24
204,659.46,563.31,8619166,117.34,5522411,,94000,58195,25
205,677.96,583.4,8619166,122.79,5522411,,94000,58195,26
206,696.46,603.49,8619166,128.24,5522411,,94000,58195,27
207,714.96,623.5799999999999,8619166,133.69,5522411,,94000,58195,28
208,733.47,643.67,8619166,139.14000000000001,5522411,,94000,58195,29
209,751.97,663.76,8619166,144.59,5522411,,94000,58195,30
210,770.47,683.85,8619166,150.04000000000002,5522411,,94000,58195,31
211,788.97,703.9399999999999,8619166,155.49,5522411,,94000,58195,32
212,807.47,724.03,8619166,160.94,5522411,,94000,58195,33
213,825.97,744.12,8619166,166.39,5522411,,94000,58195,34
214,844.47,764.2099999999999,8619166,171.84,5522411,,94000,58195,35
215,862.97,784.3,8619166,177.29000000000002,5522411,,94000,58195,36
216,881.48,804.39,8619166,182.74,5522411,,94000,58195,37
217,899.98,824.48,8619166,188.19,5522411,,94000,58195,38
218,918.48,844.5699999999999,8619166,193.64,5522411,,94000,58195,39
219,936.98,864.66,8619166,199.09,5522411,,94000,58195,40
220,955.48,884.75,8619166,204.54000000000002,5522411,,94000,58195,41
221,973.98,904.8399999999999,8619166,209.99,5522411,,94000,58195,42
222,992.48,924.93,8619166,215.44,5522411,,94000,58195,43
223,1010.98,945.02,8619166,220.89000000000001,5522411,,94000,58195,44
224,1029.48,965.11,8619166,226.34,5522411,,94000,58195,45
225,1047.99,985.1999999999999,8619166,231.79000000000002,5522411,,94000,58195,46
226,1066.49,1005.29,8619166,237.24,5522411,,94000,58195,47
227,1084.99,1025.38,8619166,242.69,5522411,,94000,58195,48
228,1103.49,1045.47,8619166,248.14000000000001,5522411,,94000,58195,49
229,1121.99,1065.56,8619166,253.59,5522411,,94000,58195,50
230,1140.49,1085.65,8619166,259.04,5522411,,94000,58195,51
231,1158.99,1105.74,8619166,264.49,5522411,,94000,58195,52
232,1177.49,1125.8300000000002,8619166,269.94,5522411,,94000,58195,53
233,1196.0,1145.92,8619166,275.39,5522411,,94000,58195,54
234,1214.5,1166.01,8619166,280.84000000000003,5522411,,94000,58195,55
235,1233.0,1186.1000000000001,8619166,286.29,5522411,,94000,58195,56
236,1251.5,1206.19,8619166,291.74,5522411,,94000,58195,57
237,1270.0,1226.28,8619166,297.19,5522411,,94000,58195,58
238,1288.5,1246.3700000000001,8619166,302.64,5522411,,94000,58195,59
239,1307.0,1266.46,8619166,308.09000000000003,5522411,,94000,58195,60
240,205.22,81.15,8619166,58.19,8668532,,42325,86600,1
241,220.61,101.24000000000001,8619166,58.19,8668532,,42325,86600,2
242,239.85,121.33000000000001,8619166,63.64,8668532,,42325,86600,3
243,259.1,141.42000000000002,8619166,69.09,8668532,,42325,86600,4
244,278.34,161.51,8619166,74.4,8622603,,42325,86600,5
245,297.58,181.60000000000002,8619166,79.85000000000001,8622603,,42325,86600,6
246,316.82,201.69,8619166,82.26,5056308,,42325,86600,7
247,336.06,221.78,8619166,82.26,5056308,,42325,86600,8
248,355.3,241.87,8619166,82.26,5056308,,42325,86600,9
249,374.54,261.96000000000004,8619166,82.26,5056308,,42325,86600,10
250,393.78,282.05,8619166,87.71000000000001,5056308,,42325,86600,11
251,413.03,302.14,8619166,90.09,5522411,,42325,86600,12
252,432.27,322.23,8619166,90.09,5522411,,42325,86600,13
253,451.51,342.32000000000005,8619166,90.09,5522411,,42325,86600,14
254,470.75,362.40999999999997,8619166,90.09,5522411,,42325,86600,15
255,489.99,382.5,8619166,90.09,5522411,,42325,86600,16
256,509.23,402.59000000000003,8619166,90.09,5522411,,42325,86600,17
257,528.47,422.67999999999995,8619166,90.09,5522411,,42325,86600,18
258,547.71,442.77,8619166,90.09,5522411,,42325,86600,19
259,566.96,462.86,8619166,90.09,5522411,,42325,86600,20
260,585.46,482.95000000000005,8619166,95.54,5522411,,42325,86600,21
261,603.96,503.03999999999996,8619166,100.99000000000001,5522411,,42325,86600,22
262,622.46,523.13,8619166,106.44,5522411,,42325,86600,23
263,640.96,543.22,8619166,111.89,5522411,,42325,86600,24
264,659.46,563.31,8619166,117.34,5522411,,42325,86600,25
265,677.96,583.4,8619166,122.79,5522411,,42325,86600,26
266,696.46,603.49,8619166,128.24,5522411,,42325,86600,27
267,714.96,623.5799999999999,8619166,133.69,5522411,,42325,86600,28
268,733.47,643.67,8619166,139.14000000000001,5522411,,42325,86600,29
269,751.97,663.76,8619166,144.59,5522411,,42325,86600,30
270,770.47,683.85,8619166,150.04000000000002,5522411,,42325,86600,31
271,788.97,703.9399999999999,8619166,155.49,5522411,,42325,86600,32
272,807.47,724.03,8619166,160.94,5522411,,42325,86600,33
273,825.97,744.12,8619166,166.39,5522411,,42325,86600,34
274,844.47,764.2099999999999,8619166,171.84,5522411,,42325,86600,35
275,862.97,784.3,8619166,177.29000000000002,5522411,,42325,86600,36
276,881.48,804.39,8619166,182.74,5522411,,42325,86600,37
277,899.98,824.48,8619166,188.19,5522411,,42325,86600,38
278,918.48,844.5699999999999,8619166,193.64,5522411,,42325,86600,39
279,936.98,864.66,8619166,199.09,5522411,,42325,86600,40
280,955.48,884.75,8619166,204.54000000000002,5522411,,42325,86600,41
281,973.98,904.8399999999999,8619166,209.99,5522411,,42325,86600,42
282,992.48,924.93,8619166,215.44,5522411,,42325,86600,43
283,1010.98,945.02,8619166,220.89000000000001,5522411,,42325,86600,44
284,1029.48,965.11,8619166,226.34,5522411,,42325,86600,45
285,1047.99,985.1999999999999,8619166,231.79000000000002,5522411,,42325,86600,46
286,1066.49,1005.29,8619166,237.24,5522411,,42325,86600,47
287,1084.99,1025.38,8619166,242.69,5522411,,42325,86600,48
288,1103.49,1045.47,8619166,248.14000000000001,5522411,,42325,86600,49
289,1121.99,1065.56,8619166,253.59,5522411,,42325,86600,50
290,1140.49,1085.65,8619166,259.04,5522411,,42325,86600,51
291,1158.99,1105.74,8619166,264.49,5522411,,42325,86600,52
292,1177.49,1125.8300000000002,8619166,269.94,5522411,,42325,86600,53
293,1196.0,1145.92,8619166,275.39,5522411,,42325,86600,54
294,1214.5,1166.01,8619166,280.84000000000003,5522411,,42325,86600,55
295,1233.0,1186.1000000000001,8619166,286.29,5522411,,42325,86600,56
296,1251.5,1206.19,8619166,291.74,5522411,,42325,86600,57
297,1270.0,1226.28,8619166,297.19,5522411,,42325,86600,58
298,1288.5,1246.3700000000001,8619166,302.64,5522411,,42325,86600,59
299,1307.0,1266.46,8619166,308.09000000000003,5522411,,42325,86600,60
